temp,hr,spo2,gsr,label
38.43,121,91,2112,High
36.48,89,97,836,Normal
38.39,128,89,2183,High
36.84,61,97,1255,Normal
37.77,102,93,1739,Moderate
39.19,167,82,3033,Critical
37.68,119,92,1833,Moderate
37.82,102,92,1704,Moderate
38.88,135,90,2539,High
37.83,109,94,1848,Moderate
37.4,92,99,900,Normal
37.95,111,93,1568,Moderate
39.45,141,88,2873,Critical
37.61,106,93,1412,Moderate
36.62,93,95,930,Normal
38.78,121,91,2262,High
38.61,124,89,2502,High
38.42,130,91,2393,High
40.09,163,79,3196,Critical
37.64,105,94,1721,Moderate
38.69,132,90,2242,High
37.88,116,93,1826,Moderate
37.0,98,96,1237,Normal
38.24,131,90,2092,High
37.27,73,99,861,Normal
38.73,121,91,2557,High
37.5,73,95,981,Normal
36.72,85,97,849,Normal
38.38,132,89,2544,High
38.4,130,91,2148,High
38.37,139,91,2224,High
36.62,67,95,1141,Normal
38.75,125,90,2034,High
37.91,118,92,1696,Moderate
38.56,130,90,2205,High
40.36,160,82,2885,Critical
38.3,127,91,2004,High
37.88,113,94,1551,Moderate
36.09,93,96,1031,Normal
39.54,159,77,2817,Critical
37.63,115,92,1486,Moderate
37.71,101,94,1540,Moderate
37.67,113,94,1770,Moderate
38.32,130,91,2461,High
40.31,159,81,2916,Critical
38.11,133,89,2114,High
36.93,65,99,919,Normal
38.57,139,89,2110,High
39.12,165,84,3064,Critical
38.99,127,89,2188,High
37.44,80,96,872,Normal
37.69,111,93,1430,Moderate
38.41,138,91,2193,High
37.4,74,99,1086,Normal
36.73,83,97,1223,Normal
38.44,133,90,2053,High
36.52,87,100,1215,Normal
36.91,66,100,976,Normal
37.69,112,94,1814,Moderate
36.97,86,95,1223,Normal
38.42,132,90,2194,High
39.77,141,80,2757,Critical
38.27,137,89,2350,High
39.29,146,83,2963,Critical
36.49,92,98,1092,Normal
36.93,87,97,1205,Normal
37.17,75,98,910,Normal
37.91,111,93,1582,Moderate
40.1,158,82,2770,Critical
39.71,151,80,2773,Critical
39.4,157,85,3164,Critical
37.16,91,97,855,Normal
40.48,163,75,3074,Critical
39.74,167,77,2768,Critical
39.54,167,85,3185,Critical
36.93,92,98,957,Normal
38.46,133,90,2067,High
38.41,138,91,2218,High
38.21,123,91,2099,High
40.35,148,75,3105,Critical
37.32,100,99,1190,Normal
39.4,155,87,2819,Critical
38.89,132,91,2268,High
37.75,103,94,1584,Moderate
37.16,70,100,1090,Normal
37.66,117,94,1414,Moderate
39.67,166,75,2740,Critical
38.24,130,91,2132,High
36.75,75,96,1054,Normal
37.81,112,94,1542,Moderate
37.78,113,93,1689,Moderate
36.63,63,98,1251,Normal
37.75,108,94,1516,Moderate
38.75,131,91,2390,High
38.9,121,91,2372,High
36.4,69,97,1061,Normal
37.88,102,93,1742,Moderate
37.87,118,94,1530,Moderate
38.26,123,91,2216,High
39.36,145,82,3164,Critical
38.81,140,90,2334,High
39.45,153,83,2847,Critical
37.86,106,92,1529,Moderate
36.95,81,97,1066,Normal
39.73,170,83,2707,Critical
36.52,77,99,1211,Normal
39.27,144,82,3159,Critical
40.35,168,76,2985,Critical
38.88,135,90,2119,High
37.93,113,93,1811,Moderate
37.74,117,92,1431,Moderate
38.79,123,90,2074,High
38.87,121,89,2380,High
38.6,125,90,2514,High
37.92,115,94,1718,Moderate
40.12,144,86,2907,Critical
37.79,102,92,1444,Moderate
36.73,76,97,979,Normal
40.1,160,81,2896,Critical
40.06,141,85,2868,Critical
37.84,102,92,1773,Moderate
39.16,152,87,2716,Critical
37.05,79,100,835,Normal
37.25,78,95,831,Normal
37.8,110,92,1540,Moderate
38.26,128,91,2088,High
37.94,113,92,1569,Moderate
40.45,149,75,2709,Critical
39.28,162,88,2989,Critical
37.96,103,94,1796,Moderate
37.66,111,92,1458,Moderate
37.69,107,92,1659,Moderate
36.3,90,96,842,Normal
38.14,121,91,2221,High
38.41,140,91,2161,High
36.57,98,100,1202,Normal
37.89,112,92,1443,Moderate
38.33,138,90,2038,High
40.29,167,78,3055,Critical
37.68,113,92,1556,Moderate
38.96,134,91,2549,High
38.41,126,91,2099,High
37.76,116,93,1621,Moderate
37.08,88,100,996,Normal
39.57,168,80,2766,Critical
37.84,106,92,1458,Moderate
39.97,142,84,3083,Critical
36.85,73,97,990,Normal
38.12,129,89,2446,High
37.87,112,94,1661,Moderate
36.17,70,99,1250,Normal
36.31,83,98,996,Normal
38.6,132,89,2029,High
40.27,142,80,3028,Critical
40.49,151,81,3035,Critical
38.18,140,91,2144,High
37.13,70,95,840,Normal
37.63,113,93,1404,Moderate
37.62,113,93,1791,Moderate
37.78,119,94,1676,Moderate
37.88,111,93,1409,Moderate
37.06,90,97,1195,Normal
36.23,89,100,934,Normal
38.56,132,89,2268,High
37.02,62,100,967,Normal
37.18,95,96,1070,Normal
38.14,134,89,2125,High
36.31,99,98,814,Normal
36.08,90,96,1205,Normal
39.4,153,78,3086,Critical
39.44,154,87,2952,Critical
39.3,144,79,2865,Critical
40.13,168,84,2752,Critical
36.76,76,96,895,Normal
38.97,129,90,2346,High
40.09,165,87,2939,Critical
38.53,136,91,2106,High
37.28,65,100,881,Normal
39.66,157,87,2991,Critical
38.9,138,89,2133,High
39.57,164,81,2700,Critical
40.25,146,77,2817,Critical
40.14,148,83,2758,Critical
37.67,111,94,1680,Moderate
40.14,149,83,2787,Critical
38.33,122,91,2221,High
37.89,106,94,1638,Moderate
38.91,133,89,2344,High
38.0,103,92,1626,Moderate
36.11,85,98,939,Normal
37.79,117,93,1795,Moderate
37.96,104,92,1439,Moderate
36.49,92,98,890,Normal
36.1,97,100,1147,Normal
40.26,168,86,2753,Critical
36.69,64,98,880,Normal
40.21,165,82,2892,Critical
37.86,108,92,1856,Moderate
38.62,135,90,2003,High
36.79,61,99,1011,Normal
39.71,145,83,2865,Critical
36.25,95,100,1242,Normal
39.55,155,78,2869,Critical
38.99,134,90,2337,High
36.4,60,95,839,Normal
37.33,76,96,1046,Normal
36.47,90,100,828,Normal
37.75,120,94,1895,Moderate
40.03,155,75,3022,Critical
37.84,104,92,1446,Moderate
37.65,103,92,1642,Moderate
38.18,121,89,2434,High
36.67,89,96,1204,Normal
38.16,121,90,2264,High
36.28,99,97,840,Normal
38.15,138,89,2029,High
37.04,63,98,1280,Normal
39.78,145,85,2904,Critical
38.24,129,91,2457,High
38.17,137,89,2198,High
38.26,127,91,2104,High
37.8,119,93,1552,Moderate
36.67,71,99,1134,Normal
37.65,102,94,1469,Moderate
39.79,164,86,3052,Critical
37.11,80,95,934,Normal
37.78,116,94,1795,Moderate
38.62,130,91,2223,High
37.14,64,98,958,Normal
38.14,139,90,2461,High
37.94,111,92,1735,Moderate
38.57,133,90,2441,High
36.59,97,98,925,Normal
38.28,122,91,2399,High
38.43,139,90,2424,High
39.65,143,80,2825,Critical
36.76,93,95,912,Normal
40.27,155,87,2807,Critical
39.1,162,84,3061,Critical
38.91,130,91,2494,High
38.85,129,90,2061,High
38.52,138,90,2168,High
37.04,71,99,1193,Normal
38.72,140,89,2128,High
37.9,102,94,1598,Moderate
37.17,98,96,1249,Normal
38.64,131,91,2561,High
37.17,75,96,1069,Normal
39.42,168,79,3058,Critical
37.1,72,97,895,Normal
38.29,126,89,2496,High
39.23,151,79,3121,Critical
37.71,110,92,1446,Moderate
38.95,131,90,2267,High
37.03,83,98,1256,Normal
38.45,129,89,2223,High
37.67,104,92,1669,Moderate
38.28,129,90,2124,High
37.84,115,93,1649,Moderate
37.93,115,93,1827,Moderate
36.81,86,98,1255,Normal
40.0,160,86,2933,Critical
38.56,127,90,2131,High
38.32,122,89,2512,High
38.63,138,89,2274,High
38.79,124,91,2459,High
40.38,142,78,2980,Critical
37.39,60,99,805,Normal
37.65,107,92,1894,Moderate
38.16,133,89,2364,High
39.98,160,84,2910,Critical
39.96,148,75,2897,Critical
39.3,142,79,2757,Critical
37.39,80,96,1089,Normal
37.99,118,94,1421,Moderate
37.32,79,99,1075,Normal
39.97,149,85,2708,Critical
37.73,118,94,1800,Moderate
40.01,163,81,3072,Critical
38.93,128,90,2006,High
37.67,118,92,1425,Moderate
37.26,62,100,880,Normal
36.28,88,97,812,Normal
37.89,117,93,1894,Moderate
40.17,148,79,2931,Critical
37.65,105,93,1744,Moderate
37.69,111,92,1626,Moderate
39.81,165,86,3034,Critical
38.38,134,91,2431,High
36.08,86,96,1188,Normal
39.61,145,84,3191,Critical
38.94,122,90,2565,High
37.92,103,94,1704,Moderate
38.37,121,91,2028,High
37.71,115,92,1716,Moderate
36.3,69,95,947,Normal
37.45,76,98,1187,Normal
37.42,94,98,1245,Normal
40.36,160,78,3134,Critical
38.16,129,89,2049,High
38.35,133,91,2581,High
37.92,108,92,1474,Moderate
37.45,72,95,1114,Normal
37.63,111,92,1440,Moderate
38.67,122,89,2302,High
39.15,145,81,2745,Critical
37.61,108,94,1864,Moderate
36.91,82,99,1126,Normal
37.06,89,97,1043,Normal
37.62,117,94,1676,Moderate
36.84,89,98,924,Normal
38.59,133,90,2016,High
37.83,116,92,1864,Moderate
38.24,135,89,2299,High
37.17,69,95,1261,Normal
40.25,168,76,2757,Critical
38.12,131,90,2557,High
37.81,109,93,1506,Moderate
36.76,71,95,1040,Normal
37.87,102,94,1849,Moderate
37.6,107,93,1603,Moderate
36.76,82,99,896,Normal
40.27,162,78,3159,Critical
38.39,133,89,2069,High
38.37,124,90,2109,High
37.71,107,94,1831,Moderate
38.26,121,90,2155,High
40.33,148,82,3134,Critical
37.3,95,99,947,Normal
36.19,90,98,975,Normal
37.91,116,92,1653,Moderate
40.29,153,85,2919,Critical
38.36,140,91,2365,High
38.11,122,90,2084,High
37.7,114,92,1759,Moderate
38.86,140,91,2422,High
37.83,120,93,1469,Moderate
38.1,135,91,2201,High
39.22,157,81,3193,Critical
40.41,163,88,3109,Critical
38.19,124,89,2287,High
36.01,75,99,1195,Normal
38.1,139,91,2335,High
39.53,169,85,2748,Critical
39.8,163,84,2843,Critical
38.85,134,91,2545,High
40.39,147,82,2724,Critical
37.16,75,99,849,Normal
39.82,153,77,3172,Critical
39.38,163,84,2884,Critical
37.92,103,92,1533,Moderate
37.82,112,92,1402,Moderate
38.65,135,90,2236,High
38.48,122,91,2032,High
38.19,138,90,2131,High
39.5,149,83,2700,Critical
37.79,120,93,1473,Moderate
38.51,127,91,2202,High
39.95,156,88,2770,Critical
37.8,102,92,1720,Moderate
39.58,156,85,2962,Critical
39.54,161,88,2837,Critical
37.73,120,94,1488,Moderate
36.67,75,100,1156,Normal
39.27,165,86,2887,Critical
38.78,135,90,2559,High
36.28,67,98,864,Normal
37.64,104,94,1400,Moderate
39.4,152,88,3171,Critical
40.24,160,87,2853,Critical
39.88,155,87,2980,Critical
37.81,113,93,1553,Moderate
39.79,158,88,3128,Critical
39.42,161,75,2752,Critical
38.65,133,89,2230,High
40.39,147,84,2858,Critical
36.78,93,97,850,Normal
36.79,61,95,1055,Normal
37.95,120,92,1416,Moderate
40.39,145,77,2796,Critical
36.41,96,100,1296,Normal
40.2,146,87,3060,Critical
39.61,168,81,2945,Critical
37.94,118,92,1439,Moderate
39.29,169,85,2792,Critical
38.88,132,91,2483,High
38.75,133,90,2233,High
36.24,64,95,1071,Normal
38.84,125,89,2518,High
38.23,132,90,2203,High
40.2,158,78,3042,Critical
38.15,140,89,2491,High
38.47,125,90,2318,High
38.65,135,91,2075,High
38.77,126,89,2182,High
37.9,118,93,1825,Moderate
38.14,124,91,2095,High
38.2,123,91,2053,High
39.42,163,79,2743,Critical
38.87,124,89,2140,High
39.21,165,83,2777,Critical
40.41,155,81,3167,Critical
37.96,111,94,1680,Moderate
40.48,146,83,2747,Critical
37.7,108,93,1881,Moderate
40.3,160,78,3035,Critical
37.05,64,100,1297,Normal
38.37,130,90,2177,High
38.42,121,91,2564,High
38.28,135,89,2435,High
38.6,126,89,2148,High
36.45,87,99,1010,Normal
37.28,68,95,1048,Normal
38.12,125,89,2470,High
38.23,139,89,2591,High
38.96,131,91,2115,High
39.24,156,87,3024,Critical
37.2,86,95,1041,Normal
37.47,90,100,1241,Normal
37.49,85,97,1265,Normal
39.94,151,84,3072,Critical
38.59,121,91,2042,High
38.88,128,90,2430,High
37.91,114,93,1773,Moderate
36.44,98,98,1098,Normal
38.34,129,91,2574,High
37.33,81,97,811,Normal
36.42,99,100,1085,Normal
37.82,108,93,1635,Moderate
40.04,168,82,3108,Critical
36.35,97,99,1294,Normal
37.62,114,94,1679,Moderate
37.48,68,97,1191,Normal
38.58,127,89,2145,High
37.37,93,96,1096,Normal
40.07,141,86,3085,Critical
37.64,118,94,1700,Moderate
37.95,109,92,1765,Moderate
37.09,65,100,1300,Normal
39.27,144,84,2947,Critical
37.94,119,94,1635,Moderate
36.3,69,97,813,Normal
37.39,96,98,925,Normal
38.79,135,91,2583,High
39.7,165,87,3170,Critical
36.36,77,96,994,Normal
37.95,109,94,1439,Moderate
38.85,122,91,2068,High
37.75,104,92,1525,Moderate
39.33,155,76,2934,Critical
36.88,93,95,1210,Normal
37.61,106,94,1721,Moderate
39.31,169,84,2904,Critical
39.42,157,87,3019,Critical
39.52,167,78,3100,Critical
39.76,167,75,3144,Critical
40.21,141,85,2752,Critical
37.83,107,93,1546,Moderate
38.32,136,90,2387,High
39.41,169,88,2982,Critical
39.57,143,83,3188,Critical
37.95,119,93,1710,Moderate
37.8,102,93,1797,Moderate
38.93,123,91,2488,High
37.92,104,93,1413,Moderate
37.84,107,92,1679,Moderate
36.84,77,99,1122,Normal
36.51,94,97,1258,Normal
37.84,115,94,1449,Moderate
39.84,145,87,3161,Critical
37.87,105,92,1898,Moderate
38.69,123,91,2064,High
36.42,100,100,1019,Normal
40.24,165,78,2905,Critical
38.19,131,91,2071,High
39.98,150,78,2791,Critical
37.7,105,93,1707,Moderate
37.98,114,92,1529,Moderate
38.44,137,90,2011,High
38.75,124,90,2144,High
38.6,136,91,2313,High
40.18,158,77,3003,Critical
37.84,119,93,1503,Moderate
38.63,140,91,2237,High
39.39,148,88,2904,Critical
37.79,109,93,1672,Moderate
37.46,60,99,1150,Normal
37.74,106,92,1807,Moderate
37.97,102,94,1692,Moderate
37.67,113,93,1432,Moderate
38.79,128,89,2169,High
38.72,139,89,2108,High
38.36,122,90,2177,High
39.89,158,75,2902,Critical
39.98,153,78,2937,Critical
37.67,105,93,1439,Moderate
37.67,116,94,1840,Moderate
40.34,166,78,3155,Critical
37.64,120,94,1755,Moderate
37.7,116,94,1787,Moderate
38.61,137,89,2542,High
38.21,129,89,2486,High
38.13,124,91,2066,High
36.7,65,98,1041,Normal
37.89,107,93,1694,Moderate
38.98,126,91,2514,High
36.4,85,100,962,Normal
37.85,113,92,1584,Moderate
38.43,129,91,2041,High
38.14,139,91,2232,High
37.78,103,94,1784,Moderate
40.18,170,78,3134,Critical
38.49,132,89,2479,High
36.15,95,98,911,Normal
40.48,149,77,2891,Critical
38.91,134,90,2563,High
38.8,131,90,2386,High
37.83,112,92,1423,Moderate
37.85,105,94,1600,Moderate
37.65,111,94,1854,Moderate
40.06,154,85,3028,Critical
38.46,140,89,2028,High
37.86,105,93,1894,Moderate
37.23,91,99,857,Normal
37.63,111,92,1715,Moderate
36.43,80,95,918,Normal
37.26,70,100,1185,Normal
36.52,82,98,1252,Normal
37.61,118,93,1506,Moderate
40.27,142,88,2974,Critical
39.11,167,81,3197,Critical
38.29,125,90,2180,High
36.15,63,97,1267,Normal
38.48,127,90,2421,High
38.95,136,91,2105,High
40.46,141,84,2728,Critical
37.44,80,99,1157,Normal
36.03,93,96,1275,Normal
36.09,95,95,1025,Normal
38.75,121,89,2071,High
36.3,63,98,912,Normal
37.79,114,93,1539,Moderate
36.78,71,97,872,Normal
37.9,117,94,1695,Moderate
37.79,111,93,1788,Moderate
36.47,87,100,892,Normal
37.87,119,92,1885,Moderate
37.69,114,93,1558,Moderate
36.22,96,97,826,Normal
38.58,131,90,2533,High
36.29,87,99,1249,Normal
38.96,129,91,2096,High
40.42,142,77,2754,Critical
36.05,70,99,901,Normal
39.39,159,88,2726,Critical
37.9,107,93,1592,Moderate
40.32,150,86,3033,Critical
39.15,160,75,2935,Critical
37.61,114,92,1638,Moderate
38.51,137,91,2211,High
37.9,105,93,1462,Moderate
37.62,118,93,1853,Moderate
38.49,140,90,2151,High
38.63,123,90,2071,High
36.87,77,100,934,Normal
38.81,127,90,2574,High
37.94,112,93,1728,Moderate
36.3,65,100,1112,Normal
36.55,74,95,1131,Normal
37.48,97,97,1162,Normal
37.84,107,92,1753,Moderate
40.47,169,79,3180,Critical
38.39,130,91,2475,High
36.28,73,97,947,Normal
38.29,134,90,2257,High
38.79,140,90,2282,High
38.38,135,90,2133,High
39.62,160,75,3122,Critical
37.99,116,94,1444,Moderate
36.89,84,98,1237,Normal
36.7,69,99,1092,Normal
38.75,134,89,2372,High
37.93,109,94,1671,Moderate
36.17,60,96,1300,Normal
37.44,73,96,841,Normal
36.82,80,97,1010,Normal
36.18,76,100,1133,Normal
38.58,132,91,2339,High
36.48,79,100,843,Normal
37.12,87,96,1245,Normal
37.91,120,93,1728,Moderate
39.47,158,83,2704,Critical
38.63,132,89,2138,High
40.13,150,79,2872,Critical
38.54,131,91,2318,High
39.39,160,86,2827,Critical
37.17,72,100,879,Normal
39.15,169,83,2779,Critical
38.28,133,90,2493,High
38.71,132,89,2006,High
37.68,105,93,1507,Moderate
37.45,70,99,1264,Normal
39.96,162,83,2992,Critical
37.82,114,94,1525,Moderate
39.11,147,77,3190,Critical
39.92,165,79,2766,Critical
39.7,165,81,3074,Critical
38.2,134,90,2550,High
37.78,120,94,1879,Moderate
40.32,168,80,2722,Critical
38.79,127,89,2592,High
36.75,60,100,956,Normal
39.91,152,77,3111,Critical
40.16,149,82,2741,Critical
37.89,112,92,1522,Moderate
39.6,154,83,2804,Critical
39.69,149,79,3159,Critical
39.97,161,78,3136,Critical
38.97,139,91,2035,High
36.09,80,99,932,Normal
37.66,116,93,1519,Moderate
37.93,118,92,1419,Moderate
36.16,60,95,1242,Normal
38.22,128,90,2450,High
37.62,112,94,1547,Moderate
37.67,103,94,1600,Moderate
38.4,138,90,2525,High
39.48,163,81,2772,Critical
38.58,121,91,2534,High
38.86,124,89,2326,High
38.65,134,90,2333,High
37.93,115,93,1647,Moderate
38.54,124,89,2455,High
39.91,150,87,2967,Critical
39.61,161,88,3175,Critical
40.45,142,83,2924,Critical
38.16,131,91,2030,High
39.2,161,84,2735,Critical
39.23,151,78,2718,Critical
40.01,154,79,3081,Critical
38.88,140,91,2209,High
37.12,71,99,1091,Normal
38.14,126,90,2188,High
39.34,166,85,3140,Critical
36.29,91,96,973,Normal
39.75,154,77,2721,Critical
39.41,158,78,2708,Critical
40.02,152,82,2867,Critical
37.8,109,92,1883,Moderate
39.73,164,75,2901,Critical
39.71,141,87,2886,Critical
40.47,165,76,3184,Critical
37.8,114,93,1668,Moderate
36.76,85,99,1127,Normal
40.13,153,76,2951,Critical
37.86,117,92,1647,Moderate
36.32,76,95,898,Normal
37.92,109,92,1652,Moderate
38.48,137,90,2174,High
37.63,115,92,1679,Moderate
38.5,125,89,2214,High
37.67,110,93,1707,Moderate
37.27,99,97,1221,Normal
38.88,126,91,2384,High
36.85,62,100,1228,Normal
38.4,140,91,2519,High
36.48,93,100,1021,Normal
37.88,106,92,1574,Moderate
37.77,118,92,1836,Moderate
40.4,149,81,2783,Critical
38.28,133,91,2532,High
39.57,160,86,3089,Critical
39.22,142,81,2970,Critical
38.17,138,90,2360,High
36.34,80,97,851,Normal
38.17,131,89,2026,High
37.63,105,94,1878,Moderate
38.74,139,90,2522,High
37.35,74,99,1242,Normal
38.49,139,90,2321,High
39.39,162,81,2784,Critical
38.0,108,93,1900,Moderate
40.16,144,75,2755,Critical
38.74,140,91,2150,High
36.64,87,97,977,Normal
38.31,137,89,2029,High
37.99,104,92,1578,Moderate
39.64,163,80,2801,Critical
38.24,126,91,2117,High
38.5,125,89,2531,High
37.96,115,94,1716,Moderate
37.95,116,92,1793,Moderate
38.67,131,89,2167,High
37.86,110,92,1800,Moderate
37.66,114,94,1868,Moderate
37.46,92,98,842,Normal
37.96,116,93,1801,Moderate
38.14,124,90,2095,High
38.14,128,91,2531,High
39.44,167,82,2767,Critical
36.08,73,100,1005,Normal
38.1,134,89,2078,High
38.41,137,91,2090,High
36.43,83,96,933,Normal
40.25,159,80,2944,Critical
38.24,132,89,2301,High
39.9,164,75,3089,Critical
37.88,108,92,1518,Moderate
36.95,100,99,1034,Normal
37.61,120,93,1567,Moderate
38.62,133,91,2461,High
38.96,127,90,2165,High
36.11,91,100,1296,Normal
36.33,93,95,1197,Normal
39.81,159,79,2856,Critical
37.84,107,94,1505,Moderate
36.82,76,96,1132,Normal
37.71,102,94,1507,Moderate
38.35,139,91,2276,High
37.68,107,94,1713,Moderate
36.33,76,96,1006,Normal
36.41,92,99,1074,Normal
39.34,166,80,3097,Critical
37.63,115,93,1552,Moderate
37.9,102,93,1697,Moderate
38.37,139,90,2572,High
37.7,108,93,1733,Moderate
36.38,87,95,852,Normal
39.45,143,79,2728,Critical
38.36,134,91,2032,High
39.38,151,79,2966,Critical
39.53,144,76,2935,Critical
39.93,145,78,3079,Critical
38.79,131,89,2043,High
37.96,102,94,1401,Moderate
37.99,107,93,1493,Moderate
38.25,129,89,2410,High
39.48,156,76,3163,Critical
38.65,122,90,2597,High
39.42,156,76,2831,Critical
38.49,137,91,2091,High
37.77,102,93,1414,Moderate
36.33,75,97,1115,Normal
38.86,134,90,2270,High
37.61,116,92,1734,Moderate
40.28,141,79,2871,Critical
38.46,136,91,2058,High
36.93,81,96,815,Normal
39.38,152,78,3006,Critical
38.96,135,90,2105,High
37.9,107,93,1515,Moderate
39.63,161,75,2844,Critical
37.28,88,95,1124,Normal
37.99,105,93,1842,Moderate
39.61,162,87,2955,Critical
38.68,131,90,2591,High
38.34,130,89,2315,High
37.96,108,93,1636,Moderate
39.44,157,83,3034,Critical
40.38,152,82,3105,Critical
40.01,141,80,2969,Critical
36.2,62,96,1293,Normal
37.76,120,94,1457,Moderate
37.03,77,98,1047,Normal
38.9,136,91,2296,High
38.59,128,91,2236,High
37.9,110,92,1818,Moderate
39.93,152,87,3177,Critical
39.75,144,87,3092,Critical
37.26,74,97,1004,Normal
39.28,152,82,3183,Critical
38.63,133,90,2048,High
38.79,122,91,2459,High
39.68,168,79,2973,Critical
39.62,154,88,2720,Critical
39.85,155,76,3033,Critical
39.42,144,84,2783,Critical
38.13,133,90,2200,High
38.6,128,89,2320,High
37.83,107,93,1726,Moderate
37.63,116,92,1602,Moderate
36.4,66,99,1079,Normal
38.5,125,90,2484,High
37.98,107,92,1730,Moderate
40.05,168,81,2938,Critical
37.28,91,96,1262,Normal
39.84,147,88,2861,Critical
38.32,133,89,2255,High
37.23,91,96,966,Normal
37.72,102,94,1771,Moderate
37.99,116,93,1834,Moderate
40.04,147,80,2705,Critical
36.67,92,99,1109,Normal
36.3,78,96,1245,Normal
37.79,116,92,1670,Moderate
40.08,144,85,3174,Critical
37.95,111,93,1866,Moderate
39.98,163,79,3168,Critical
38.76,132,91,2491,High
37.87,120,93,1455,Moderate
39.8,153,81,2720,Critical
37.0,81,97,801,Normal
37.61,112,93,1846,Moderate
37.93,104,93,1769,Moderate
38.35,134,89,2165,High
38.76,125,90,2063,High
37.95,101,94,1729,Moderate
36.79,77,98,1217,Normal
36.55,92,99,1234,Normal
39.58,161,88,2769,Critical
37.94,109,93,1686,Moderate
39.8,161,80,3033,Critical
37.87,120,92,1440,Moderate
37.05,86,98,931,Normal
40.49,168,75,3054,Critical
38.96,128,90,2076,High
38.61,130,89,2009,High
37.84,101,94,1792,Moderate
38.66,137,90,2009,High
39.97,153,78,2884,Critical
36.47,87,97,808,Normal
38.54,131,91,2225,High
40.43,150,77,3196,Critical
38.54,140,91,2138,High
37.71,115,93,1501,Moderate
39.75,156,81,2869,Critical
36.72,62,98,1284,Normal
38.43,138,89,2395,High
38.48,121,91,2005,High
37.24,68,97,1164,Normal
37.73,102,92,1655,Moderate
37.73,118,92,1677,Moderate
37.96,112,93,1693,Moderate
39.18,144,76,3006,Critical
36.14,87,98,990,Normal
36.73,75,100,942,Normal
37.03,67,99,887,Normal
37.86,108,93,1704,Moderate
36.08,91,96,1161,Normal
39.12,156,85,2785,Critical
37.63,103,92,1712,Moderate
40.18,151,75,2744,Critical
37.79,111,93,1431,Moderate
37.99,119,94,1881,Moderate
39.18,158,85,2760,Critical
39.61,154,77,3022,Critical
36.42,75,98,937,Normal
37.09,80,95,878,Normal
38.26,132,91,2290,High
38.11,140,90,2502,High
39.56,147,81,2866,Critical
39.54,163,78,3193,Critical
38.1,131,89,2590,High
36.42,75,99,1296,Normal
37.23,63,95,1263,Normal
37.9,103,92,1536,Moderate
37.01,65,95,1126,Normal
37.88,117,93,1741,Moderate
39.89,142,77,2878,Critical
36.84,95,99,1014,Normal
38.58,130,91,2015,High
36.07,88,96,971,Normal
37.86,105,94,1830,Moderate
37.84,104,94,1633,Moderate
40.07,159,80,2845,Critical
38.58,139,90,2331,High
39.83,164,87,2789,Critical
39.97,160,88,2914,Critical
38.9,139,89,2328,High
39.42,170,77,2818,Critical
40.26,155,82,2992,Critical
37.01,81,99,1073,Normal
37.26,63,100,1144,Normal
37.93,112,93,1885,Moderate
39.36,154,78,3126,Critical
38.17,130,89,2130,High
36.44,92,96,857,Normal
37.79,113,94,1492,Moderate
